File,Lines of Code,Num Plays,Avg Play Size,Num Tasks,Avg Task Size
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/adoptium/infrastructure/ansible/playbooks/AdoptOpenJDK_AIX_Playbook/roles/disable_sendmail/tasks/main.yml,20,0,0,2,8
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/adoptium/infrastructure/ansible/playbooks/AdoptOpenJDK_AIX_Playbook/roles/enable_swap/tasks/main.yml,24,0,0,1,16
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/adoptium/infrastructure/ansible/playbooks/AdoptOpenJDK_AIX_Playbook/roles/fullcore/tasks/main.yml,7,0,0,1,4
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/adoptium/infrastructure/ansible/playbooks/AdoptOpenJDK_AIX_Playbook/roles/hosts_file/tasks/main.yml,52,0,0,5,10
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/adoptium/infrastructure/ansible/playbooks/AdoptOpenJDK_AIX_Playbook/roles/logs/tasks/main.yml,23,0,0,5,4
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/adoptium/infrastructure/ansible/playbooks/AdoptOpenJDK_AIX_Playbook/roles/ntp_time_server/tasks/main.yml,31,0,0,4,7
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/adoptium/infrastructure/ansible/playbooks/AdoptOpenJDK_AIX_Playbook/roles/openssl/tasks/main.yml,27,0,0,5,5
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/adoptium/infrastructure/ansible/playbooks/AdoptOpenJDK_AIX_Playbook/roles/rbac/tasks/main.yml,64,0,0,8,6
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/adoptium/infrastructure/ansible/playbooks/AdoptOpenJDK_AIX_Playbook/roles/rbac/tasks/setsecattr.yml,24,0,0,1,15
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/adoptium/infrastructure/ansible/playbooks/AdoptOpenJDK_AIX_Playbook/roles/security/tasks/main.yml,25,0,0,1,17
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/adoptium/infrastructure/ansible/playbooks/AdoptOpenJDK_AIX_Playbook/roles/syslogs/tasks/main.yml,31,0,0,4,8
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/adoptium/infrastructure/ansible/playbooks/AdoptOpenJDK_AIX_Playbook/roles/users/tasks/create_user.yml,22,0,0,2,10
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/adoptium/infrastructure/ansible/playbooks/AdoptOpenJDK_AIX_Playbook/roles/users/tasks/jenkins.yml,24,0,0,3,7
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/adoptium/infrastructure/ansible/playbooks/AdoptOpenJDK_AIX_Playbook/roles/users/tasks/limits.yml,11,0,0,1,7
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/adoptium/infrastructure/ansible/playbooks/AdoptOpenJDK_AIX_Playbook/roles/users/tasks/main.yml,61,0,0,5,8
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/adoptium/infrastructure/ansible/playbooks/AdoptOpenJDK_AIX_Playbook/roles/users/tasks/nagios.yml,43,0,0,3,13
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/adoptium/infrastructure/ansible/playbooks/AdoptOpenJDK_AIX_Playbook/roles/users/tasks/user_attributes.yml,11,0,0,1,7
