Owner,Repo,Files Number,YAML Files Number,File URL
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_ITW_Playbook\roles\automake\tasks\main.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_ITW_Playbook\roles\Common\tasks\build_packages_and_tools.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_ITW_Playbook\roles\Common\tasks\CentOS.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_ITW_Playbook\roles\Common\tasks\main.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_ITW_Playbook\roles\GIT_Source\tasks\main.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_ITW_Playbook\roles\pkg-config\tasks\main.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_ITW_Playbook\roles\rust\tasks\main.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_Unix_Playbook\roles\adoptopenjdk_install\tasks\main.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_Unix_Playbook\roles\adopt_etc\tasks\main.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_Unix_Playbook\roles\ant\tasks\main.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_Unix_Playbook\roles\Ant-Contrib\tasks\main.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_Unix_Playbook\roles\autoconf\tasks\main.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_Unix_Playbook\roles\ccache\tasks\main.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_Unix_Playbook\roles\CentOS6-Cent7SSL\tasks\main.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_Unix_Playbook\roles\Clean_Up\tasks\main.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_Unix_Playbook\roles\cmake\tasks\main.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_Unix_Playbook\roles\Common\tasks\Alpine.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_Unix_Playbook\roles\Common\tasks\build_packages_and_tools.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_Unix_Playbook\roles\Common\tasks\CentOS.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_Unix_Playbook\roles\Common\tasks\Debian.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_Unix_Playbook\roles\Common\tasks\Fedora.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_Unix_Playbook\roles\Common\tasks\FreeBSD.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_Unix_Playbook\roles\Common\tasks\MacOSX.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_Unix_Playbook\roles\Common\tasks\main.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_Unix_Playbook\roles\Common\tasks\openSUSE.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_Unix_Playbook\roles\Common\tasks\RedHat.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_Unix_Playbook\roles\Common\tasks\SLES.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_Unix_Playbook\roles\Common\tasks\Solaris.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_Unix_Playbook\roles\Common\tasks\Ubuntu.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_Unix_Playbook\roles\criu\tasks\main.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_Unix_Playbook\roles\Crontab\tasks\main.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_Unix_Playbook\roles\curl\tasks\main.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_Unix_Playbook\roles\Debug\tasks\main.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_Unix_Playbook\roles\disable_gui\tasks\main.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_Unix_Playbook\roles\Docker\tasks\debian.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_Unix_Playbook\roles\Docker\tasks\main.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_Unix_Playbook\roles\Docker\tasks\rhel.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_Unix_Playbook\roles\Docker\tasks\sles.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_Unix_Playbook\roles\Docker\tasks\ubuntu.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_Unix_Playbook\roles\DockerStatic\tasks\main.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_Unix_Playbook\roles\freemarker\tasks\main.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_Unix_Playbook\roles\gcc_10\tasks\main.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_Unix_Playbook\roles\gcc_11\tasks\main.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_Unix_Playbook\roles\gcc_48\tasks\main.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_Unix_Playbook\roles\gcc_7\tasks\main.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_Unix_Playbook\roles\gcc_9\tasks\main.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_Unix_Playbook\roles\Get_Vendor_Files\tasks\main.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_Unix_Playbook\roles\git-hg\tasks\main.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_Unix_Playbook\roles\GIT_Source\tasks\main.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_Unix_Playbook\roles\gmake\tasks\main.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_Unix_Playbook\roles\IPv6\tasks\main.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_Unix_Playbook\roles\jckservices_iptables\tasks\main.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_Unix_Playbook\roles\Jenkins_User\tasks\main.yml
