X2015.Middleware.Keynote,https...github.com.2015.Middleware.Keynote.demo.ansible.blob.master.playbooks.certificate_repos.yml
theopenlab,https://github.com/theopenlab/openlab-zuul-jobs/blob/master/roles/export-kind-gcp-account/tasks/main.yaml
dresden-weekly,https://github.com/dresden-weekly/ansible-network-interfaces/blob/master/tasks/all_interfaces.yml
openstack,https://github.com/openstack/tripleo-ansible/blob/master/tripleo_ansible/roles/tripleo_run_cephadm/tasks/main.yml
OXID-eSales,https://github.com/OXID-eSales/oxvm_base/blob/master/ansible/roles/java/tasks/install.yml
Cloudbox,https://github.com/Cloudbox/Cloudbox/blob/master/roles/portainer/tasks/main.yml
henrysher,https://github.com/henrysher/fedora-infra-ansible/blob/master/playbooks/restart_unbound.yml
andrewrothstein,https://github.com/andrewrothstein/ansible-unarchive-deps/blob/master/tasks/main.yml
coopdevs,https://github.com/coopdevs/timeoverflow-provisioning/blob/master/roles/webserver/tasks/main.yml
delphix,https://github.com/delphix/appliance-build/blob/master/live-build/misc/ansible-roles/appliance-build.dcenter/tasks/main.yml
CenterForOpenScience,https://github.com/CenterForOpenScience/cos-ansible-base/blob/master/roles/docker-dor/tasks/server.yml
stackhpc,https://github.com/stackhpc/ansible-role-libvirt-vm/blob/master/tasks/volumes.yml
openstack,https://github.com/openstack/kolla-ansible/blob/master/ansible/roles/trove/tasks/deploy.yml
oravirt,https://github.com/oravirt/ansible-oracle/blob/master/roles/orahost/tasks/main.yml
coopdevs,https://github.com/coopdevs/timeoverflow-provisioning/blob/master/roles/common/tasks/groups.yml
ebbba-org,https://github.com/ebbba-org/ansible-role-bigbluebutton/blob/master/tasks/bbb-html5.yml
kubernetes-sigs,https://github.com/kubernetes-sigs/kubespray/blob/master/roles/etcd/tasks/install_docker.yml
fusor,https://github.com/fusor/catasb/blob/master/ansible/roles/ssl_setup/tasks/main.yml
Juniper,https://github.com/Juniper/contrail-ansible/blob/master/kolla-ansible/ansible/roles/bifrost/tasks/deploy-servers.yml
redhat-openstack,https://github.com/redhat-openstack/ansible-nfv/blob/master/roles/configuration/switches_config/tasks/main.yml
openfoodfoundation,https://github.com/openfoodfoundation/ofn-install/blob/master/playbooks/db_backup.yml
openstack,https://github.com/openstack/openstack-ansible-os_ironic/blob/master/tasks/ironic_inspector_post_install.yml
openstack,https://github.com/openstack/kolla-ansible/blob/master/ansible/roles/telegraf/tasks/precheck.yml
manala,https://github.com/manala/ansible-roles/blob/master/roles/systemd/tasks/tmpfiles_configs.yml
henrysher,https://github.com/henrysher/fedora-infra-ansible/blob/master/roles/pagure/fedmsg/tasks/main.yml
cjeanner,https://github.com/cjeanner/tripleo-lab/blob/master/roles/podman/tasks/run_container.yaml
nexcess,https://github.com/nexcess/ansible-playbook-cloudhost/blob/master/playbooks/tasks/import-dev.yml
integr8ly,https://github.com/integr8ly/ansible-tower-configuration/blob/master/playbooks/roles/validation/tasks/compare_repositories.yml
openstack,https://github.com/openstack/tripleo-validations/blob/master/roles/check_undercloud_conf/tasks/main.yml
openstack,https://github.com/openstack/tripleo-quickstart-extras/blob/master/roles/undercloud-setup/tasks/write-outputs.yml
louim,https://github.com/louim/bedrock-site-protect/blob/master/tasks/main.yml
henrysher,https://github.com/henrysher/fedora-infra-ansible/blob/master/roles/bodhi2/backend/tasks/main.yml
weareinteractive,https://github.com/weareinteractive/ansible-newrelic/blob/master/tasks/install_redhat.yml
geerlingguy,https://github.com/geerlingguy/ansible-role-nodejs/blob/master/tasks/main.yml
manala,https://github.com/manala/ansible-roles/blob/master/roles/sqlite/tasks/main.yml
openstack,https://github.com/openstack/bifrost/blob/master/playbooks/example-deploy-all-available-nodes.yaml
debops,https://github.com/debops/ansible-sshd/blob/master/tasks/authorized_keys_lookup.yml
confluentinc,https://github.com/confluentinc/cp-ansible/blob/master/roles/kafka_connect/tasks/health_check.yml
aerogear,https://github.com/aerogear/aerogear-digger-installer/blob/master/configure-buildfarm/tasks/jenkins-passwordless-key.yml
ReinerNippes,https://github.com/ReinerNippes/nextcloud/blob/master/roles/prep_talk/tasks/Fedora.yml
openstack,https://github.com/openstack/tripleo-quickstart/blob/master/playbooks/build-images.yml
CentOS-PaaS-SIG,https://github.com/CentOS-PaaS-SIG/linchpin/blob/master/dev_setup/playbooks/roles/minishift/tasks/main.yml
AtlasOfLivingAustralia,https://github.com/AtlasOfLivingAustralia/ala-install/blob/master/ansible/roles/ansible-elasticsearch/tasks/elasticsearch-config.yml
openedx,https://github.com/openedx/configuration/blob/master/playbooks/remove-ubuntu-key.yml
ArdanaCLM,https://github.com/ArdanaCLM/cobbler-ansible/blob/master/roles/cobbler/tasks/populate-rhel.yml
dimagi,https://github.com/dimagi/commcare-cloud/blob/master/src/commcare_cloud/ansible/roles/pg_backup/tasks/backup_plain_clean.yml
kyl191,https://github.com/kyl191/ansible-role-openvpn/blob/master/tasks/client_keys.yml
snowplow,https://github.com/snowplow/ansible-playbooks/blob/master/roles/nodejs/tasks/main.yml
openstack,https://github.com/openstack/ansible-role-tripleo-modify-image/blob/master/tasks/precheck.yml
Juniper,https://github.com/Juniper/contrail-ansible-internal/blob/master/playbooks/contrail_issu.yml
geerlingguy,https://github.com/geerlingguy/drupal-vm/blob/master/provisioning/roles/geerlingguy.firewall/tasks/main.yml
RedHatQE,https://github.com/RedHatQE/cinch/blob/master/cinch/roles/jenkins_slave/tasks/check_swarm_errors.yml
geerlingguy,https://github.com/geerlingguy/drupal-vm/blob/master/provisioning/roles/geerlingguy.security/tasks/autoupdate-RedHat.yml
RedHatGov,https://github.com/RedHatGov/redhatgov.workshops/blob/master/jboss-migration-toolkit/roles/openshift_templates/tasks/main.yml
shadow-robot,https://github.com/shadow-robot/aurora/blob/master/ansible/roles/products/hand-e/server/desktop-icons/tasks/hand-icon-bimanual.yml
William-Yeh,https://github.com/William-Yeh/ansible-oracle-java/blob/master/tasks/fetch_jce.yml
coopdevs,https://github.com/coopdevs/odoo-role/blob/master/tasks/main.yml
openstack,https://github.com/openstack/tripleo-ansible/blob/master/tripleo_ansible/roles/tripleo_ceph_distribute_keys/tasks/distribute_conf_and_keys.yaml
manala,https://github.com/manala/ansible-roles/blob/master/roles/docker/tasks/applications.yml
openedx,https://github.com/openedx/configuration/blob/master/playbooks/roles/oauth2_proxy/tasks/main.yml
avinetworks,https://github.com/avinetworks/ansible-role-aviconfig/blob/master/tasks/hardwaresecuritymodulegroup.yml
openstack,https://github.com/openstack/openstack-ansible/blob/master/playbooks/listening-port-report.yml
Juniper,https://github.com/Juniper/contrail-ansible/blob/master/kolla-ansible/ansible/roles/kuryr/tasks/deploy.yml
freifunk-berlin,https://github.com/freifunk-berlin/bbb-configs/blob/master/roles/cfg_openwrt/tasks/fix_permissions.yml
adriagalin,https://github.com/adriagalin/ansible.motd/blob/master/tasks/main.yml
ilkilab,https://github.com/ilkilab/agorakube/blob/master/roles/install-runtimes/tasks/uninstall-docker.yaml
influxdata,https://github.com/influxdata/ansible-chrony/blob/master/tasks/install.yml
roots,https://github.com/roots/trellis/blob/master/roles/ssmtp/tasks/main.yml
Juniper,https://github.com/Juniper/contrail-ansible/blob/master/kolla-ansible/ansible/roles/ceph/tasks/pull.yml
splunk,https://github.com/splunk/splunk-ansible/blob/master/roles/splunk_common/tasks/enable_forwarder_monitoring.yml
sky-uk,https://github.com/sky-uk/clusterverse/blob/master/redeploy/_scheme_rmvm_keepdisk_rollback/tasks/by_hosttype_by_host.yml
openedx,https://github.com/openedx/configuration/blob/master/playbooks/tableau.yml
geerlingguy,https://github.com/geerlingguy/ansible-role-clamav/blob/master/tasks/setup-RedHat.yml
avinetworks,https://github.com/avinetworks/ansible-role-aviconfig/blob/master/tasks/gslbgeodbprofile.yml
Juniper,https://github.com/Juniper/contrail-ansible/blob/master/kolla-ansible/ansible/roles/rally/tasks/main.yml
manala,https://github.com/manala/ansible-roles/blob/master/roles/ssh/tasks/services.yml
