File,Lines of Code,Num Plays,Avg Play Size,Num Tasks,Avg Task Size
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/lots_of_warnings.yml,998,1,995,496,2
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/mocked_dependency.yml,9,1,9,2,2
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/name-case.transformed.yml,3,1,3,0,0
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/name-case.yml,3,1,3,0,0
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/nomatches.yml,6,1,6,2,2
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/noqa-nested.yml,9,1,8,1,6
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/noqa.yml,6,1,5,1,3
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/norole.yml,4,1,4,0,0
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/norole2.yml,4,1,4,0,0
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/no_handler_fail.yml,26,1,22,5,4
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/no_handler_pass.yml,73,1,68,16,4
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/no_relative_paths_fail.yml,24,1,13,2,5
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/no_relative_paths_pass.yml,14,1,13,2,5
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/package-check-failure.yml,17,1,17,4,4
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/package-check-success.yml,18,1,18,4,4
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/play.yml,4,1,4,1,2
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/playbook-imported.yml,11,1,10,2,2
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/playbook-parent.yml,8,0,0,3,2
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/play_miss_include.yml,4,1,4,0,0
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/rule-args-module-fail.yml,32,1,24,5,4
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/rule-args-module-pass.yml,84,1,82,14,6
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/rule-avoid-implicit-fail.yml,9,1,9,1,6
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/rule-avoid-implicit-pass.yml,8,1,8,1,5
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/rule-command-instead-of-module-fail.yml,15,1,12,3,3
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/rule-command-instead-of-module-pass.yml,30,1,30,9,3
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/rule-command-instead-of-shell-fail.yml,21,1,21,4,4
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/rule-command-instead-of-shell-pass.yml,50,1,49,11,4
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/rule-deprecated-command-syntax.yml,6,1,6,1,3
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/rule-deprecated-local-action-fail.yml,6,1,6,1,3
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/rule-empty-string-compare-fail.yml,19,1,16,4,3
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/rule-empty-string-compare-pass.yml,15,1,16,2,6
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/rule-fqcn-fail.yml,14,1,13,2,4
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/rule-fqcn-pass.yml,13,1,12,3,3
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/rule-jinja-fail.yml,14,1,9,1,6
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/rule-jinja-pass.yml,77,4,19,11,6
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/rule-key-order-fail.yml,29,1,29,6,4
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/rule-key-order-pass.yml,16,1,15,4,3
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/rule-name-casing.yml,9,1,9,2,3
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/rule-name-missing-fail.yml,15,1,10,4,2
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/rule-name-missing-pass.yml,13,1,11,3,3
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/rule-name-play-fail.yml,3,1,2,0,0
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/rule-name-templated-fail.yml,12,1,12,3,3
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/rule-no-changed-when-fail.yml,15,1,14,3,4
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/rule-no-changed-when-pass.yml,23,1,19,4,4
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/rule-no-free-form-fail.yml,15,1,13,3,3
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/rule-no-free-form-pass.yml,18,1,17,3,5
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/rule-no-handler-fail.yml,15,1,13,2,5
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/rule-no-handler-pass.yml,15,1,14,1,7
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/rule-no-jinja-when-fail.yml,19,3,6,1,4
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/rule-no-jinja-when-pass.yml,16,1,16,3,4
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/rule-no-prompting.yml,24,2,10,3,3
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/rule-no-tabs.yml,20,1,19,4,4
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/rule-only-builtins.yml,13,1,9,2,3
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/rule-partial-become-without-become-fail.yml,22,3,7,3,5
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/rule-partial-become-without-become-pass.yml,27,4,7,4,4
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/rule-risky-file-permissions-fail.yml,79,9,8,11,4
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/rule-risky-file-permissions-pass.yml,68,8,8,10,4
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/rule-risky-octal-fail.yml,21,1,21,4,4
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/rule-risky-octal-pass.yml,38,1,33,9,3
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/rule-risky-shell-pipe-fail.yml,14,1,14,3,3
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/rule-risky-shell-pipe-pass.yml,61,1,57,12,4
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/rule-role-name-path.yml,12,1,9,1,3
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/rule-schema-become-method-fail.yml,9,1,9,1,4
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/rule-schema-become-method-pass.yml,4,1,4,0,0
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/rule-syntax-moves.yml,18,1,15,3,4
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/rule-validate-module-options-pass-2.yml,9,1,9,1,6
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/rule-yaml-fail.yml,16,1,14,3,4
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/rule-yaml-pass.yml,7,1,4,0,0
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/rulebook.yml,20,1,18,0,0
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/rule_literal_compare_fail.yml,19,1,16,3,4
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/rule_literal_compare_pass.yml,21,1,21,4,4
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/run-once-fail.yml,12,1,9,1,4
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/run-once-pass.yml,7,1,7,1,3
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/schema-error-string.yml,3,0,0,1,2
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/skiptasks.yml,49,1,49,14,3
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/strict-mode.yml,8,1,7,1,4
