Playbook Path,Play Name,Task Name,duplicated code,complex playbook,high playbook coupling,Large Playbook,Unnecessary set_fact,Overriding facts,Incohesive Playbook,Unecessary Abstraction ,Insufficient Modularization,Inconsistent Naming Convention ,Large Play,Unnamed Play,Large Task,Long Task Name,Filename,Full_Path_and_Filename,GroupID
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\AtlasOfLivingAustralia\ala-install\ansible\roles\postgresql\tasks\barman.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#,barman,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\AtlasOfLivingAustralia\ala-install\ansible\roles\postgresql\tasks\barman.yml_barman,barman
,,setup apt,#,#,#,#,#,#,#,#,#,#,#,#,0,0,barman,nan_barman,barman
,,Barman | Install Barman,#,#,#,#,#,#,#,#,#,#,#,#,0,0,barman,nan_barman,barman
,,Barman | create /etc/barman.d,#,#,#,#,#,#,#,#,#,#,#,#,0,0,barman,nan_barman,barman
,,Barman | deploy global configuration,#,#,#,#,#,#,#,#,#,#,#,#,0,0,barman,nan_barman,barman
,,remove default cron to add log support,#,#,#,#,#,#,#,#,#,#,#,#,0,0,barman,nan_barman,barman
,,replace default cron to add log support,#,#,#,#,#,#,#,#,#,#,#,#,0,0,barman,nan_barman,barman
,,Barman | Do a daily backup of all servers,#,#,#,#,#,#,#,#,#,#,#,#,0,0,barman,nan_barman,barman
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\ebbba-org\ansible-role-bigbluebutton\tasks\bbb-html5.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#,bbb-html5,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\ebbba-org\ansible-role-bigbluebutton\tasks\bbb-html5.yml_bbb-html5,bbb-html5
,,Configure cluster proxy in meteor,#,#,#,#,#,#,#,#,#,#,#,#,0,0,bbb-html5,nan_bbb-html5,bbb-html5
,,Write custom meteor config,#,#,#,#,#,#,#,#,#,#,#,#,0,0,bbb-html5,nan_bbb-html5,bbb-html5
,,Enable sipjsHackViaWs,#,#,#,#,#,#,#,#,#,#,#,#,0,0,bbb-html5,nan_bbb-html5,bbb-html5
,,Disable sipjsHackViaWs,#,#,#,#,#,#,#,#,#,#,#,#,0,0,bbb-html5,nan_bbb-html5,bbb-html5
,,Set loadbalancer.nginx for the cluster proxy,#,#,#,#,#,#,#,#,#,#,#,#,0,0,bbb-html5,nan_bbb-html5,bbb-html5
,,Set bbb-html5.nginx for the cluster proxy,#,#,#,#,#,#,#,#,#,#,#,#,0,0,bbb-html5,nan_bbb-html5,bbb-html5
,,Increase max-old-space-size in frontends,#,#,#,#,#,#,#,#,#,#,#,#,0,0,bbb-html5,nan_bbb-html5,bbb-html5
,,Set amount of html5 back- and frontends,#,#,#,#,#,#,#,#,#,#,#,#,0,0,bbb-html5,nan_bbb-html5,bbb-html5
,,Setup html5-frontend nginx connections,#,#,#,#,#,#,#,#,#,#,#,#,0,0,bbb-html5,nan_bbb-html5,bbb-html5
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\Juniper\contrail-ansible\kolla-ansible\ansible\roles\searchlight\tasks\bootstrap_service.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#,bootstrap_service,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\Juniper\contrail-ansible\kolla-ansible\ansible\roles\searchlight\tasks\bootstrap_service.yml_bootstrap_service,bootstrap_service
,,Running Searchlight bootstrap container,#,#,#,#,#,#,#,#,#,#,#,#,1,0,bootstrap_service,nan_bootstrap_service,bootstrap_service
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\openstack\kolla-ansible\ansible\roles\designate\tasks\bootstrap_service.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#,bootstrap_service,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\openstack\kolla-ansible\ansible\roles\designate\tasks\bootstrap_service.yml_bootstrap_service,bootstrap_service
,,Running Designate bootstrap container,#,#,#,#,#,#,#,#,#,#,#,#,1,0,bootstrap_service,nan_bootstrap_service,bootstrap_service
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\maticnetwork\node-ansible\playbooks\bor.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#,bor,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\maticnetwork\node-ansible\playbooks\bor.yml_bor,bor
,Install Bor,,#,#,#,#,#,#,#,#,#,#,0,0,#,#,bor,nan_bor,bor
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\openstack\tripleo-quickstart\playbooks\build-images.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#,build-images,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\openstack\tripleo-quickstart\playbooks\build-images.yml_build-images,build-images
,Add virthost to inventory,,#,#,#,#,#,#,#,#,#,#,0,0,#,#,build-images,nan_build-images,build-images
,Add the virthost node to the generated inventory,,#,#,#,#,#,#,#,#,#,#,0,0,#,#,build-images,nan_build-images,build-images
,Setup the virthost to build images then build them,,#,#,#,#,#,#,#,#,#,#,0,0,#,#,build-images,nan_build-images,build-images
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\sky-uk\clusterverse\redeploy\_scheme_rmvm_keepdisk_rollback\tasks\by_hosttype_by_host.yml,,,1,1,0,0,0,0,0,0,0,0,#,#,#,#,by_hosttype_by_host,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\sky-uk\clusterverse\redeploy\_scheme_rmvm_keepdisk_rollback\tasks\by_hosttype_by_host.yml_by_hosttype_by_host,by_hosttype_by_host
,,task1,#,#,#,#,#,#,#,#,#,#,#,#,0,0,,,
,,stop/ remove previous instance,#,#,#,#,#,#,#,#,#,#,#,#,1,0,by_hosttype_by_host,nan_by_hosttype_by_host,by_hosttype_by_host
,,by_hosttype_by_host | run predeleterole role,#,#,#,#,#,#,#,#,#,#,#,#,0,0,,,
,,by_hosttype_by_host | Power off old VM,#,#,#,#,#,#,#,#,#,#,#,#,0,0,,,
,,"by_hosttype_by_host | Run {{mainclusteryml}} to add {{host_to_redeploy.hostname}} to cluster""",#,#,#,#,#,#,#,#,#,#,#,#,0,1,by_hosttype_by_host,nan_by_hosttype_by_host,by_hosttype_by_host
,,task,#,#,#,#,#,#,#,#,#,#,#,#,0,0,,,
,,"by_hosttype_by_host | re-acquire cluster_hosts_state (NOT cluster_hosts_target, as we are augmenting this in _add_src_diskinfo_to_cluster_hosts_target__ (also, it is not affected by change of state))",#,#,#,#,#,#,#,#,#,#,#,#,0,1,by_hosttype_by_host,nan_by_hosttype_by_host,by_hosttype_by_host
,,"by_hosttype_by_host | Power on new VM (not needed for normal redeploy, but for rescue case)",#,#,#,#,#,#,#,#,#,#,#,#,0,1,by_hosttype_by_host,nan_by_hosttype_by_host,by_hosttype_by_host
,,by_hosttype_by_host | re-acquire the dynamic inventory,#,#,#,#,#,#,#,#,#,#,#,#,0,0,by_hosttype_by_host,nan_by_hosttype_by_host,by_hosttype_by_host
,,"by_hosttype_by_host | re-acquire cluster_hosts_state (NOT cluster_hosts_target, as we are augmenting this in _add_src_diskinfo_to_cluster_hosts_target__ (also, it is not affected by change of state))",#,#,#,#,#,#,#,#,#,#,#,#,0,1,by_hosttype_by_host,nan_by_hosttype_by_host,by_hosttype_by_host
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\bdellegrazie\ansible-role-ca-certificates\tasks\ca_certificates-trusted.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#,ca_certificates-trusted,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\bdellegrazie\ansible-role-ca-certificates\tasks\ca_certificates-trusted.yml_ca_certificates-trusted,ca_certificates-trusted
,,Install trusted CA Certificates,#,#,#,#,#,#,#,#,#,#,#,#,1,0,ca_certificates-trusted,nan_ca_certificates-trusted,ca_certificates-trusted
,,Install remote trusted CA Certificates,#,#,#,#,#,#,#,#,#,#,#,#,0,0,ca_certificates-trusted,nan_ca_certificates-trusted,ca_certificates-trusted
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\openstack\openstack-ansible-os_ceilometer\tasks\ceilometer_install.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#,ceilometer_install,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\openstack\openstack-ansible-os_ceilometer\tasks\ceilometer_install.yml_ceilometer_install,ceilometer_install
,,Record the installation method,#,#,#,#,#,#,#,#,#,#,#,#,0,0,ceilometer_install,nan_ceilometer_install,ceilometer_install
,,Refresh local facts to ensure the ceilometer section is present,#,#,#,#,#,#,#,#,#,#,#,#,0,0,ceilometer_install,nan_ceilometer_install,ceilometer_install
,,Install distro packages,#,#,#,#,#,#,#,#,#,#,#,#,0,0,ceilometer_install,nan_ceilometer_install,ceilometer_install
,,Retrieve the constraints URL,#,#,#,#,#,#,#,#,#,#,#,#,0,0,ceilometer_install,nan_ceilometer_install,ceilometer_install
,,Install the python venv,#,#,#,#,#,#,#,#,#,#,#,#,1,0,ceilometer_install,nan_ceilometer_install,ceilometer_install
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\sodafoundation\installer\ansible\roles\osdsdock\scenarios\ceph.yml,,,0,1,0,1,0,0,0,0,0,1,#,#,#,#,ceph,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\sodafoundation\installer\ansible\roles\osdsdock\scenarios\ceph.yml_ceph,ceph
,,ceph pre-flight check,#,#,#,#,#,#,#,#,#,#,#,#,0,0,ceph,nan_ceph,ceph
,,check ceph exists,#,#,#,#,#,#,#,#,#,#,#,#,0,0,,,
,,check the installed ceph version,#,#,#,#,#,#,#,#,#,#,#,#,0,0,ceph,nan_ceph,ceph
,,set_fact installed_ceph_version,#,#,#,#,#,#,#,#,#,#,#,#,0,0,,,
,,check if the installed ceph is healthy or not,#,#,#,#,#,#,#,#,#,#,#,#,0,0,ceph,nan_ceph,ceph
,,set_fact ceph_health,#,#,#,#,#,#,#,#,#,#,#,#,0,0,ceph,nan_ceph,ceph
,,stat /etc/ceph/ceph.conf,#,#,#,#,#,#,#,#,#,#,#,#,0,0,,,
,,"paranoia check for ""/etc/ceph/ceph.conf"" and its consistency",#,#,#,#,#,#,#,#,#,#,#,#,0,0,ceph,nan_ceph,ceph
,,check ceph cluster member status,#,#,#,#,#,#,#,#,#,#,#,#,1,0,ceph,nan_ceph,ceph
,,set_fact ceph_cluster_health_status,#,#,#,#,#,#,#,#,#,#,#,#,0,0,ceph,nan_ceph,ceph
,,check if the existing ceph is the required version or not,#,#,#,#,#,#,#,#,#,#,#,#,1,0,ceph,nan_ceph,ceph
,,set_fact ceph_version_check,#,#,#,#,#,#,#,#,#,#,#,#,0,0,ceph,nan_ceph,ceph
,,Fail if downgrade of the existing ceph required,#,#,#,#,#,#,#,#,#,#,#,#,0,0,ceph,nan_ceph,ceph
,,install notario package with pip when ceph backend enabled,#,#,#,#,#,#,#,#,#,#,#,#,0,0,ceph,nan_ceph,ceph
,,configure opensds global info osdsdock ceph,#,#,#,#,#,#,#,#,#,#,#,#,1,0,ceph,nan_ceph,ceph
,,copy opensds ceph backend file to ceph config file if specify ceph backend,#,#,#,#,#,#,#,#,#,#,#,#,0,1,ceph,nan_ceph,ceph
,,incorrect - older/newer - version ceph is running properly,#,#,#,#,#,#,#,#,#,#,#,#,0,0,ceph,nan_ceph,ceph
,,"ceph cluster member health check, especially osds are up or not",#,#,#,#,#,#,#,#,#,#,#,#,0,0,ceph,nan_ceph,ceph
,,uninstall ceph on upgrade/downgrade installation,#,#,#,#,#,#,#,#,#,#,#,#,0,0,ceph,nan_ceph,ceph
,,install ceph,#,#,#,#,#,#,#,#,#,#,#,#,0,0,ceph,nan_ceph,ceph
,,wait until ceph stabilizes,#,#,#,#,#,#,#,#,#,#,#,#,0,0,ceph,nan_ceph,ceph
,,create specified pools and initialize them with default pool size,#,#,#,#,#,#,#,#,#,#,#,#,0,0,ceph,nan_ceph,ceph
,,wait until defined ceph pooll are visible,#,#,#,#,#,#,#,#,#,#,#,#,0,0,ceph,nan_ceph,ceph
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\openstack\openstack-ansible-ceph_client\tasks\ceph_preinstall_apt.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#,ceph_preinstall_apt,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\openstack\openstack-ansible-ceph_client\tasks\ceph_preinstall_apt.yml_ceph_preinstall_apt,ceph_preinstall_apt
,,Remove revoked ceph apt-keys,#,#,#,#,#,#,#,#,#,#,#,#,0,0,ceph_preinstall_apt,nan_ceph_preinstall_apt,ceph_preinstall_apt
