Playbook Path,Play Name,Task Name,duplicated code,complex playbook,high playbook coupling,Large Playbook,Unnecessary set_fact,Overriding facts,Incohesive Playbook,Unecessary Abstraction ,Insufficient Modularization,Inconsistent Naming Convention ,Large Play,Unnamed Play,Large Task,Long Task Name,Filename,Full_Path_and_Filename,GroupID
,,task,#,#,#,#,#,#,#,#,#,#,#,#,0,0,,,
,,task,#,#,#,#,#,#,#,#,#,#,#,#,0,0,,,
,,Installing .....,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,"Ensure group ""deloitte"" exists",#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,Adding user and adding to Group Deploy,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\henrysher\fedora-infra-ansible\roles\plus-plus-service\tasks\main.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#,main,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\henrysher\fedora-infra-ansible\roles\plus-plus-service\tasks\main.yml_main,main
,,Ensure mod_wsgi is not installed since we're using python3,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,Ensure there are no left over of mod_wsgi,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,install needed packages,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,create all the directory for the configuration file,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,Install the config files,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\CenterForOpenScience\cos-ansible-base\roles\hostname\tasks\main.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#,main,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\CenterForOpenScience\cos-ansible-base\roles\hostname\tasks\main.yml_main,main
,,ansible_hostname,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,hostname_name,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,Update the hostname,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,Update /etc/hosts,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,Run hostname cmd,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\openedx\configuration\playbooks\roles\munin_node\tasks\main.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#,main,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\openedx\configuration\playbooks\roles\munin_node\tasks\main.yml_main,main
,,Install OS packages,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,, Link munin-node iostat,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,Link munin-node iostat-ios,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,Copy munin iostat config,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,Add source cidr,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,Restart munin-mode,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\henrysher\fedora-infra-ansible\roles\fedora-web\codecs\tasks\main.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#,main,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\henrysher\fedora-infra-ansible\roles\fedora-web\codecs\tasks\main.yml_main,main
,,Copy in the sync-labs cronjob,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,Copy some config files for {{website}},#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\liip\drifter\provisioning\roles\gitlabci\tasks\main.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#,main,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\liip\drifter\provisioning\roles\gitlabci\tasks\main.yml_main,main
,,install gitlab-ci.yml,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,create ci scripts directory,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,install run_tests.sh,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,install gitlabci.sh,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,install provisionbuild.dat,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\openstack\openstack-ansible-os_tempest\tasks\main.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#,main,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\openstack\openstack-ansible-os_tempest\tasks\main.yml_main,main
,,Gather variables for each operating system,#,#,#,#,#,#,#,#,#,#,#,#,1,0,main,nan_main,main
,,Set tempest service specific variables,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,Gather variables for source installs,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,Gather variables for distro installs,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,task,#,#,#,#,#,#,#,#,#,#,#,#,0,0,,,
,,task,#,#,#,#,#,#,#,#,#,#,#,#,0,0,,,
,,task,#,#,#,#,#,#,#,#,#,#,#,#,0,0,,,
,,Flush handlers,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,task,#,#,#,#,#,#,#,#,#,#,#,#,0,0,,,
,,task,#,#,#,#,#,#,#,#,#,#,#,#,0,0,,,
,,task,#,#,#,#,#,#,#,#,#,#,#,#,0,0,,,
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\QingCloudAppcenter\ansible-roles\haproxy\tasks\main.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#,main,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\QingCloudAppcenter\ansible-roles\haproxy\tasks\main.yml_main,main
,,install ppa tools,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,install ppa,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,install HAProxy,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,add to svc group,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,copy conf files,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,link files,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,update dir owner,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,disable haproxy auto start,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\arillso\ansible.logrotate\tasks\main.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#,main,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\arillso\ansible.logrotate\tasks\main.yml_main,main
,,add OS specific variables,#,#,#,#,#,#,#,#,#,#,#,#,1,0,main,nan_main,main
,, install logrotate packages,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,create logrotate configuration file,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,, create logrotate application configuration files,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,symlink for hourly rotation,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\roots\trellis\roles\xdebug\tasks\main.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#,main,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\roots\trellis\roles\xdebug\tasks\main.yml_main,main
,,Include php{{ php_version }} related vars,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,Install Xdebug,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,Template the Xdebug configuration file,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,Ensure 20-xdebug.ini is present,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,, Disable Xdebug CLI,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\manala\ansible-roles\roles\deploy\tasks\main.yml,,,0,0,0,0,0,0,1,0,0,0,#,#,#,#,main,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\manala\ansible-roles\roles\deploy\tasks\main.yml_main,main
,,Setup,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,Strategy,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,Unfinished,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,Shared,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,Copied,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,Writable - Dirs,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,Tasks,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,Removed,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,Finalize,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,Clean,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,Post tasks,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\ArkCase\arkcase-ce\vagrant\provisioning\roles\pentaho-setup\tasks\main.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#,main,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\ArkCase\arkcase-ce\vagrant\provisioning\roles\pentaho-setup\tasks\main.yml_main,main
,,Ensure group pentaho exists,#,#,#,#,#,#,#,#,#,#,#,#,0,0,,,
,,pentaho user,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,Pentaho folders,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,enable logrotate for pentaho log folder if necessary,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,create Pentaho database schemas,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\devopsschool-training-notes\Ansible-astrazeneca-June-2020\RajSelvaraj\rolesprj\projectnew\tasks\main.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#,main,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\devopsschool-training-notes\Ansible-astrazeneca-June-2020\RajSelvaraj\rolesprj\projectnew\tasks\main.yml_main,main
,,Install the httpd server,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,start the httpd service,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,Template httpd.conf.j2,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,Template index.html.j2,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,This command will change the working directory to somedir/.,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\ansible\ansible-zuul-jobs\playbooks\ansible-security-trendmicro-deepsec-appliance\roles\tm-deepsec-aws-setup\tasks\main.yml,,,0,1,0,1,0,0,0,0,0,0,#,#,#,#,main,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\ansible\ansible-zuul-jobs\playbooks\ansible-security-trendmicro-deepsec-appliance\roles\tm-deepsec-aws-setup\tasks\main.yml_main,main
,,"Ensure bash, OpenSSl, and libssl are the latest versions",#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,Install psycopg2 python package for postgres,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,Change psycopg2 dir permission to 0755,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,Remove the postgresql package,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,Remove pgsql directory,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,Install postgres 11 libs rpm from a remote file,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,Create postgres data cluster,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,Start postgres service,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,create postgres DB,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,create postgres User,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,Ensure local security method is changed to md5,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,Ensure local security method is changed to md5,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,"add new configuration to ""pg_hba.conf""",#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,Restart postgres service,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,add silent properties config to dsm directory,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,Run the silent properties file via TM AWS manager script,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,Ensure the PostgreSQL and TM agent and TM service is running,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,task,#,#,#,#,#,#,#,#,#,#,#,#,1,0,,,
,,Get a Session ID,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,Get a request ID,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,Create and get the API KEY,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,Create temp file with API Key over appliance,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,Collect the deepsec api key,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\contiv\ansible\roles\bind\tasks\main.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#,main,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\contiv\ansible\roles\bind\tasks\main.yml_main,main
,,install bind (redhat),#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,install bind (debian),#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,start/enable bind (redhat),#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,start/enable bind (debian),#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,rewrite resolv.conf,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\Cloudbox\Cloudbox\roles\kernel\tasks\main.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#,main,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\Cloudbox\Cloudbox\roles\kernel\tasks\main.yml_main,main
,,Set default 'reboot_is_necessary' variable,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,Preinstall task,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,"""Hetzner Tasks""",#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,"""Cron Tasks""",#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,"""Mainline Kernel Script Tasks""",#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,"""Header Tasks""",#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,"""Restart Tasks""",#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,"""Checks Tasks""",#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\openedx\configuration\playbooks\roles\grafana\tasks\main.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#,main,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\openedx\configuration\playbooks\roles\grafana\tasks\main.yml_main,main
,,ensure correct OS,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,install packages.grafana.com GPG key,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,install packages.grafana.com PPA,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,install grafana,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,configure grafana,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,enable grafana,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,stop grafana,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,restart grafana,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\vmware\ansible-module-vcloud-director\roles\org\tasks\main.yml,,,1,0,0,0,0,0,0,0,0,0,#,#,#,#,main,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\vmware\ansible-module-vcloud-director\roles\org\tasks\main.yml_main,main
,,create org,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,create org output,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,update org,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,update org output,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,read org,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,read org output,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,add rights to org,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,add rights output,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,list rights of org,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,add rights output,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,list roles,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,list roles output,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,list vdcs,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,list vdcs output,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,delete org,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,delete org output,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\arillso\ansible.users\tasks\main.yml,,,0,0,0,0,0,1,0,0,0,0,#,#,#,#,main,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\arillso\ansible.users\tasks\main.yml_main,main
,,add OS specific variables,#,#,#,#,#,#,#,#,#,#,#,#,1,0,main,nan_main,main
,,task,#,#,#,#,#,#,#,#,#,#,#,#,1,0,,,
,,add host users,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,add group users,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,include distribution tasks,#,#,#,#,#,#,#,#,#,#,#,#,1,0,main,nan_main,main
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\theopenlab\openlab-zuul-jobs\roles\export-kind-gcp-account\tasks\main.yaml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#,main,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\theopenlab\openlab-zuul-jobs\roles\export-kind-gcp-account\tasks\main.yaml_main,main
,,Set google account key file path,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,Save google account key file,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\openstack\tripleo-ansible\tripleo_ansible\roles\tripleo_run_cephadm\tasks\main.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#,main,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\openstack\tripleo-ansible\tripleo_ansible\roles\tripleo_run_cephadm\tasks\main.yml_main,main
,,set cephadm playbook,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,Setup the log path,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,Setup the cephadm playbook command,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,, rotate cephadm_command.log,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,save cephadm playbook command to shell script,#,#,#,#,#,#,#,#,#,#,#,#,1,0,main,nan_main,main
,,"""Notify user about upcoming cephadm execution(s)""",#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,run cephadm playbook,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,search triple_run_cephadm_output of cephadm run(s) non-zero return codes,#,#,#,#,#,#,#,#,#,#,#,#,0,1,main,nan_main,main
,,print cephadm triple_run_cephadm_output in case of failure,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\Cloudbox\Cloudbox\roles\portainer\tasks\main.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#,main,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\Cloudbox\Cloudbox\roles\portainer\tasks\main.yml_main,main
,,"""Set DNS Record on CloudFlare""",#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,Stop and remove any existing container,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,Create portainer directories,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,Create and start container,#,#,#,#,#,#,#,#,#,#,#,#,1,0,main,nan_main,main
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\andrewrothstein\ansible-unarchive-deps\tasks\main.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#,main,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\andrewrothstein\ansible-unarchive-deps\tasks\main.yml_main,main
,,resolve platform specific vars,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,install unarchive module pkgs...,#,#,#,#,#,#,#,#,#,#,#,#,1,0,main,nan_main,main
,, install OS packages,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,install PowerShell module,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\coopdevs\timeoverflow-provisioning\roles\webserver\tasks\main.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#,main,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\coopdevs\timeoverflow-provisioning\roles\webserver\tasks\main.yml_main,main
,,Create systemd unit for timeoverflow unicorn,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,Reload systemd,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,Create crontab entries for scheduled job,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,task,#,#,#,#,#,#,#,#,#,#,#,#,0,0,,,
,,task,#,#,#,#,#,#,#,#,#,#,#,#,0,0,,,
,,task,#,#,#,#,#,#,#,#,#,#,#,#,0,0,,,
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\oravirt\ansible-oracle\roles\orahost\tasks\main.yml,,,0,1,0,1,0,0,0,0,0,0,#,#,#,#,main,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\oravirt\ansible-oracle\roles\orahost\tasks\main.yml_main,main
,,Check for correct OS family & min version,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,Install packages required by Oracle on OL/RHEL version 6 and 7,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,Install custom packages required by Oracle on SLES (oracle_packages_sles),#,#,#,#,#,#,#,#,#,#,#,#,0,1,main,nan_main,main
,,Install default packages required by Oracle on SLES (version dependant),#,#,#,#,#,#,#,#,#,#,#,#,0,1,main,nan_main,main
,,Install packages required by Oracle for ASMlib on OL/RHEL,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,Install packages required by Oracle for ASMlib on SLES,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,Check if firewall is installed,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,Disable firewall,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,Disable selinux (permanently),#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,Disable selinux (runtime),#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,Timezone,#,#,#,#,#,#,#,#,#,#,#,#,1,0,main,nan_main,main
,,Set Timezone,#,#,#,#,#,#,#,#,#,#,#,#,0,0,,,
,,Restart crond after timezone change,#,#,#,#,#,#,#,#,#,#,#,#,0,0,,,
,,Check dns for host,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,Add host to /etc/hosts if needed,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,User | Add group(s),#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,User | Add Oracle user,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,User | Add Grid user,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,User | Add Oracle user to sudoers,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,User | Add Grid user to sudoers,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,ssh-keys | Generate SSH keys,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,ssh-keys | Add ssh-keys & authorized_keys to oracle user,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,ssh-keys | Add ssh-keys & authorized_keys to grid user,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,ssh-keys | Add short name to known_hosts,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,ssh-keys | Add FQDN to known_hosts,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,ssh-keys | Add IPv4 to known_hosts,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,, ssh-keys | Copy known_hosts to oracle user,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,ssh-keys | Copy known_hosts to grid user,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,ssh-keys | Remove generated keys from control machine,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
,,filesystem | Create directories,#,#,#,#,#,#,#,#,#,#,#,#,0,0,main,nan_main,main
